case_num,date_filed,status,num_employees,location,nlrb_region,case_url,charged_party
03-CA-272067,02/02/2021,Open,80,"Utica, NY","Region 03, Buffalo, New York",https://www.nlrb.gov/case/03-CA-272067,Utica Rehabilation and Nursing Center
14-CA-272070,02/02/2021,Open,50,"Saint Louis, MO","Region 14, Saint Louis, Missouri",https://www.nlrb.gov/case/14-CA-272070,"Abbott Ambulance, Inc. d/b/a East Region Communications Center, a Global Medical Response subsidiary"
04-CA-272073,02/02/2021,Open,500,"New Castle, DE","Region 04, Philadelphia, Pennsylvania",https://www.nlrb.gov/case/04-CA-272073,United States Postal Service
03-CA-272075,02/02/2021,Open,200,"Tonawanda, NY","Region 03, Buffalo, New York",https://www.nlrb.gov/case/03-CA-272075,Unifrax LLC
10-CA-272085,02/02/2021,Open,1,"Roanoke, VA","Region 10, Atlanta, Georgia",https://www.nlrb.gov/case/10-CA-272085,United States Postal Service
08-CA-272098,02/02/2021,Open,10,"Lima, OH","Region 08, Cleveland, Ohio",https://www.nlrb.gov/case/08-CA-272098,"Capital City Group, LLC"
03-CB-272096,02/02/2021,Open,400,"Albany, NY","Region 03, Buffalo, New York",https://www.nlrb.gov/case/03-CB-272096,"United Union Employees of New York (Civil Service Employees Association (CSEA) AFSCME, AFL-CIO)"
14-CA-272089,02/02/2021,Open,8,"Clinton, MO","Region 14, Saint Louis, Missouri",https://www.nlrb.gov/case/14-CA-272089,"Rent It 2 Own It, TransformationInvestments, LLC"
25-CA-272099,02/02/2021,Open,500,"Peoria, IL","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CA-272099,UnityPoint Health Methodist
14-CB-272083,02/02/2021,Open,100,"Grand Island, NE","Region 14, Saint Louis, Missouri",https://www.nlrb.gov/case/14-CB-272083,American Postal Workers Union Central Nebraska Area Local Union 9 (United States Postal Service)
31-CB-272102,02/02/2021,Open,80,"Glendale, CA","Region 31, Los Angeles, California",https://www.nlrb.gov/case/31-CB-272102,American Postal Workers Union (United States Postal Service)
06-CA-272126,02/02/2021,Open,40,"Mount Pleasant, PA","Region 06, Pittsburgh, Pennsylvania",https://www.nlrb.gov/case/06-CA-272126,PennWest Industrial Trucks
06-CA-272127,02/02/2021,Open,40,"Mount Pleasant, PA","Region 06, Pittsburgh, Pennsylvania",https://www.nlrb.gov/case/06-CA-272127,PennWest Industrial Trucks
01-CA-272125,02/02/2021,Open,253,"Plympton, MA","Region 01, Boston, Massachusetts",https://www.nlrb.gov/case/01-CA-272125,SYSCO BOSTON LLC
25-CA-272107,02/02/2021,Open,500,"Indianapolis, IN","Region 25, Indianapolis, Indiana",https://www.nlrb.gov/case/25-CA-272107,United States Postal Service
08-CA-272110,02/02/2021,Open,1500,"Cleveland, OH","Region 08, Cleveland, Ohio",https://www.nlrb.gov/case/08-CA-272110,Cleveland Cliffs
12-CA-272109,02/02/2021,Open,10,"Canovanas, PR","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-272109,"Comunicadores Gráficos, Inc., d/b/a CG Printing"
09-CB-272119,02/02/2021,Open,25,"LOUISVILLE, KY","Region 09, Cincinnati, Ohio",https://www.nlrb.gov/case/09-CB-272119,"AMERICAN POSTAL WORKERS UNION, AFL-CIO (APWU), LOCAL 4 (United States Postal Service)"
12-CA-272120,02/02/2021,Open,200,"Ponce, PR","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CA-272120,Hospital Metropolitano Rio Piedras
12-CB-272121,02/02/2021,Open,1,"Guaynabo, PR","Region 12, Tampa, Florida",https://www.nlrb.gov/case/12-CB-272121,"Union de Profesionales de la Seguridad Privada y Transporte de Valores (MVM, Inc.)"
14-CA-272091,02/02/2021,Open,50,"Kansas City, MO","Region 14, Saint Louis, Missouri",https://www.nlrb.gov/case/14-CA-272091,"Joint Employers: McDonald’s USA, Webb Van Brunt, Inc. a McDonald's Franchisee and Essig & Associates, Inc./Essig Management Co."
14-CB-272112,02/02/2021,Open,500,"Saint Louis, MO","Region 14, Saint Louis, Missouri",https://www.nlrb.gov/case/14-CB-272112,United Auto Workers Local 2250 (General Motors)
14-CA-272128,02/02/2021,Open,51,"Omaha, NE","Region 14, Saint Louis, Missouri",https://www.nlrb.gov/case/14-CA-272128,"Omaha Electric Service, Inc."
